Employee Name,Month,Year,Month_Number,Start Date,Tenure_Days,Tenure_Range,Department,Org,Manager,Level distinction,Country
Employee 64,April 2023,2023,4,2022-08-29,244,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,April 2023,2023,4,2022-08-29,244,6 months-1 year,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,April 2023,2023,4,2022-09-19,223,6 months-1 year,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
Employee 8,April 2023,2023,4,2020-11-30,881,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 80,April 2023,2023,4,2022-12-19,132,3-6 months,Accounting,Operations,Employee 66,M3 Veteran,United States
Employee 81,April 2023,2023,4,2022-12-19,132,3-6 months,Data Product Engineering,R&D,Employee 157,L3 Veteran,Egypt
Employee 83,April 2023,2023,4,2023-01-03,117,3-6 months,Orion,R&D,Employee 183,L3 Seasoned,United Kingdom
Employee 85,April 2023,2023,4,2023-01-03,117,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Veteran,United States
Employee 86,April 2023,2023,4,2023-01-10,110,3-6 months,Forward Deployed Engineering,R&D,Employee 999,M4 Early,United States
Employee 87,April 2023,2023,4,2023-01-17,103,3-6 months,Product Security,R&D,Employee 113,L5 Seasoned,Netherlands
Employee 89,April 2023,2023,4,2023-01-23,97,3-6 months,Orion,R&D,Employee 183,L3 Early,Egypt
Employee 91,April 2023,2023,4,2023-02-06,83,1-3 months,Data Product Engineering,R&D,Employee 157,L4 Early,Egypt
Employee 95,April 2023,2023,4,2023-04-10,20,1-30 days,Core Data Ingestion,R&D,Employee 151,L5 Seasoned,United States
Employee 10,May 2023,2023,5,2021-01-28,853,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1141,May 2023,2023,5,2022-10-31,212,6 months-1 year,Software Engineering,R&D,Employe 2141,L4 Seasoned,United States
Employee 1143,May 2023,2023,5,2021-10-18,590,1-5 years,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1151,May 2023,2023,5,2022-11-14,198,6 months-1 year,Software Engineering,R&D,Employe 2151,L5 Seasoned,United States
Employee 1153,May 2023,2023,5,2022-12-05,177,3-6 months,Software Engineering,R&D,Employe 2153,L5 Early,United States
Employee 1180,May 2023,2023,5,2022-09-18,255,6 months-1 year,Software Engineering,R&D,Employe 2180,L2 Seasoned,Egypt
Employee 1189,May 2023,2023,5,2022-02-07,478,1-5 years,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,May 2023,2023,5,2022-02-14,471,1-5 years,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1199,May 2023,2023,5,2023-05-08,23,1-30 days,Security Engineering,R&D,Employe 2199,L5 Early,United States
Employee 1202,May 2023,2023,5,2023-05-08,23,1-30 days,Data Platform Engineering,R&D,Employe 2202,L5,Canada
Employee 1216,May 2023,2023,5,2023-01-18,133,3-6 months,Software Engineering,R&D,Employe 2216,L4 Early,United States
Employee 1219,May 2023,2023,5,2022-10-10,233,6 months-1 year,Software Engineering,R&D,Employe 2219,L4 Early,Canada
Employee 1231,May 2023,2023,5,2023-04-10,51,1-3 months,Software Engineering,R&D,Employe 2231,L4 Seasoned,United States
Employee 1236,May 2023,2023,5,2021-04-29,762,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,May 2023,2023,5,2021-12-22,525,1-5 years,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,May 2023,2023,5,2021-08-02,667,1-5 years,Finance,Operations,Employe 2251,M6 Early,United States
Employee 1271,May 2023,2023,5,2023-01-09,142,3-6 months,Engineering,R&D,Employe 2271,M6 Seasoned,United States
Employee 15,May 2023,2023,5,2021-08-01,668,1-5 years,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,May 2023,2023,5,2021-08-18,651,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,May 2023,2023,5,2021-08-23,646,1-5 years,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,May 2023,2023,5,2019-05-20,1472,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,May 2023,2023,5,2022-02-07,478,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,May 2023,2023,5,2022-04-11,415,1-5 years,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,May 2023,2023,5,2022-05-03,393,1-5 years,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,May 2023,2023,5,2022-05-09,387,1-5 years,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,May 2023,2023,5,2020-01-27,1220,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,May 2023,2023,5,2022-06-13,352,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,May 2023,2023,5,2022-06-27,338,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,May 2023,2023,5,2022-07-05,330,6 months-1 year,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 64,May 2023,2023,5,2022-08-29,275,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,May 2023,2023,5,2022-08-29,275,6 months-1 year,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,May 2023,2023,5,2022-09-19,254,6 months-1 year,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
Employee 8,May 2023,2023,5,2020-11-30,912,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 80,May 2023,2023,5,2022-12-19,163,3-6 months,Accounting,Operations,Employee 66,M3 Veteran,United States
Employee 81,May 2023,2023,5,2022-12-19,163,3-6 months,Data Product Engineering,R&D,Employee 157,L3 Veteran,Egypt
Employee 83,May 2023,2023,5,2023-01-03,148,3-6 months,Orion,R&D,Employee 183,L3 Seasoned,United Kingdom
Employee 85,May 2023,2023,5,2023-01-03,148,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Veteran,United States
Employee 86,May 2023,2023,5,2023-01-10,141,3-6 months,Forward Deployed Engineering,R&D,Employee 999,M4 Early,United States
Employee 87,May 2023,2023,5,2023-01-17,134,3-6 months,Product Security,R&D,Employee 113,L5 Seasoned,Netherlands
Employee 89,May 2023,2023,5,2023-01-23,128,3-6 months,Orion,R&D,Employee 183,L3 Early,Egypt
Employee 91,May 2023,2023,5,2023-02-06,114,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Early,Egypt
Employee 95,May 2023,2023,5,2023-04-10,51,1-3 months,Core Data Ingestion,R&D,Employee 151,L5 Seasoned,United States
Employee 10,June 2023,2023,6,2021-01-28,883,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 1141,June 2023,2023,6,2022-10-31,242,6 months-1 year,Software Engineering,R&D,Employe 2141,L4 Seasoned,United States
Employee 1143,June 2023,2023,6,2021-10-18,620,1-5 years,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1148,June 2023,2023,6,2023-06-20,10,1-30 days,Solutions Engineering,Go-To-Market,Employe 2148,L5 Seasoned,United States
Employee 1151,June 2023,2023,6,2022-11-14,228,6 months-1 year,Software Engineering,R&D,Employe 2151,L5 Seasoned,United States
Employee 1153,June 2023,2023,6,2022-12-05,207,6 months-1 year,Software Engineering,R&D,Employe 2153,L5 Early,United States
Employee 1180,June 2023,2023,6,2022-09-18,285,6 months-1 year,Software Engineering,R&D,Employe 2180,L2 Seasoned,Egypt
Employee 1189,June 2023,2023,6,2022-02-07,508,1-5 years,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,June 2023,2023,6,2022-02-14,501,1-5 years,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1199,June 2023,2023,6,2023-05-08,53,1-3 months,Security Engineering,R&D,Employe 2199,L5 Early,United States
Employee 1202,June 2023,2023,6,2023-05-08,53,1-3 months,Data Platform Engineering,R&D,Employe 2202,L5,Canada
Employee 1216,June 2023,2023,6,2023-01-18,163,3-6 months,Software Engineering,R&D,Employe 2216,L4 Early,United States
Employee 1219,June 2023,2023,6,2022-10-10,263,6 months-1 year,Software Engineering,R&D,Employe 2219,L4 Early,Canada
Employee 1231,June 2023,2023,6,2023-04-10,81,1-3 months,Software Engineering,R&D,Employe 2231,L4 Seasoned,United States
Employee 1236,June 2023,2023,6,2021-04-29,792,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,June 2023,2023,6,2021-12-22,555,1-5 years,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1251,June 2023,2023,6,2021-08-02,697,1-5 years,Finance,Operations,Employe 2251,M6 Early,United States
Employee 1271,June 2023,2023,6,2023-01-09,172,3-6 months,Engineering,R&D,Employe 2271,M6 Seasoned,United States
Employee 15,June 2023,2023,6,2021-08-01,698,1-5 years,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,June 2023,2023,6,2021-08-18,681,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,June 2023,2023,6,2021-08-23,676,1-5 years,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,June 2023,2023,6,2019-05-20,1502,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,June 2023,2023,6,2022-02-07,508,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,June 2023,2023,6,2022-04-11,445,1-5 years,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,June 2023,2023,6,2022-05-03,423,1-5 years,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,June 2023,2023,6,2022-05-09,417,1-5 years,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,June 2023,2023,6,2020-01-27,1250,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,June 2023,2023,6,2022-06-13,382,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,June 2023,2023,6,2022-06-27,368,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,June 2023,2023,6,2022-07-05,360,6 months-1 year,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 64,June 2023,2023,6,2022-08-29,305,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,June 2023,2023,6,2022-08-29,305,6 months-1 year,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,June 2023,2023,6,2022-09-19,284,6 months-1 year,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
Employee 8,June 2023,2023,6,2020-11-30,942,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 80,June 2023,2023,6,2022-12-19,193,6 months-1 year,Accounting,Operations,Employee 66,M3 Veteran,United States
Employee 81,June 2023,2023,6,2022-12-19,193,6 months-1 year,Data Product Engineering,R&D,Employee 157,L3 Veteran,Egypt
Employee 83,June 2023,2023,6,2023-01-03,178,3-6 months,Orion,R&D,Employee 183,L3 Seasoned,United Kingdom
Employee 85,June 2023,2023,6,2023-01-03,178,3-6 months,Core Data Ingestion,R&D,Employee 151,L4 Veteran,United States
Employee 86,June 2023,2023,6,2023-01-10,171,3-6 months,Forward Deployed Engineering,R&D,Employee 999,M4 Early,United States
Employee 87,June 2023,2023,6,2023-01-17,164,3-6 months,Product Security,R&D,Employee 113,L5 Seasoned,Netherlands
Employee 89,June 2023,2023,6,2023-01-23,158,3-6 months,Orion,R&D,Employee 183,L3 Early,Egypt
Employee 91,June 2023,2023,6,2023-02-06,144,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Early,Egypt
Employee 95,June 2023,2023,6,2023-04-10,81,1-3 months,Core Data Ingestion,R&D,Employee 151,L5 Seasoned,United States
Employee 10,July 2023,2023,7,2021-01-28,914,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 102,July 2023,2023,7,2023-07-31,0,1-30 days,Product Engineering,R&D,Employee 41,L3 Veteran,India
Employee 1141,July 2023,2023,7,2022-10-31,273,6 months-1 year,Software Engineering,R&D,Employe 2141,L4 Seasoned,United States
Employee 1143,July 2023,2023,7,2021-10-18,651,1-5 years,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1148,July 2023,2023,7,2023-06-20,41,1-3 months,Solutions Engineering,Go-To-Market,Employe 2148,L5 Seasoned,United States
Employee 1151,July 2023,2023,7,2022-11-14,259,6 months-1 year,Software Engineering,R&D,Employe 2151,L5 Seasoned,United States
Employee 1153,July 2023,2023,7,2022-12-05,238,6 months-1 year,Software Engineering,R&D,Employe 2153,L5 Early,United States
Employee 1180,July 2023,2023,7,2022-09-18,316,6 months-1 year,Software Engineering,R&D,Employe 2180,L2 Seasoned,Egypt
Employee 1189,July 2023,2023,7,2022-02-07,539,1-5 years,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,July 2023,2023,7,2022-02-14,532,1-5 years,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1199,July 2023,2023,7,2023-05-08,84,1-3 months,Security Engineering,R&D,Employe 2199,L5 Early,United States
Employee 1202,July 2023,2023,7,2023-05-08,84,1-3 months,Data Platform Engineering,R&D,Employe 2202,L5,Canada
Employee 1216,July 2023,2023,7,2023-01-18,194,6 months-1 year,Software Engineering,R&D,Employe 2216,L4 Early,United States
Employee 1219,July 2023,2023,7,2022-10-10,294,6 months-1 year,Software Engineering,R&D,Employe 2219,L4 Early,Canada
Employee 1231,July 2023,2023,7,2023-04-10,112,3-6 months,Software Engineering,R&D,Employe 2231,L4 Seasoned,United States
Employee 1236,July 2023,2023,7,2021-04-29,823,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,July 2023,2023,7,2021-12-22,586,1-5 years,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1244,July 2023,2023,7,2023-07-10,21,1-30 days,Software Engineering,R&D,Employe 2244,L3 Veteran,United States
Employee 1251,July 2023,2023,7,2021-08-02,728,1-5 years,Finance,Operations,Employe 2251,M6 Early,United States
Employee 1268,July 2023,2023,7,2023-07-03,28,1-30 days,Data Product Engineering,R&D,Employe 2268,L4 Veteran,United States
Employee 1271,July 2023,2023,7,2023-01-09,203,6 months-1 year,Engineering,R&D,Employe 2271,M6 Seasoned,United States
Employee 15,July 2023,2023,7,2021-08-01,729,1-5 years,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,July 2023,2023,7,2021-08-18,712,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,July 2023,2023,7,2021-08-23,707,1-5 years,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,July 2023,2023,7,2019-05-20,1533,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,July 2023,2023,7,2022-02-07,539,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,July 2023,2023,7,2022-04-11,476,1-5 years,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,July 2023,2023,7,2022-05-03,454,1-5 years,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,July 2023,2023,7,2022-05-09,448,1-5 years,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,July 2023,2023,7,2020-01-27,1281,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,July 2023,2023,7,2022-06-13,413,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,July 2023,2023,7,2022-06-27,399,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,July 2023,2023,7,2022-07-05,391,1-5 years,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 64,July 2023,2023,7,2022-08-29,336,6 months-1 year,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,July 2023,2023,7,2022-08-29,336,6 months-1 year,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,July 2023,2023,7,2022-09-19,315,6 months-1 year,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
Employee 8,July 2023,2023,7,2020-11-30,973,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 80,July 2023,2023,7,2022-12-19,224,6 months-1 year,Accounting,Operations,Employee 66,M3 Veteran,United States
Employee 81,July 2023,2023,7,2022-12-19,224,6 months-1 year,Data Product Engineering,R&D,Employee 157,L3 Veteran,Egypt
Employee 83,July 2023,2023,7,2023-01-03,209,6 months-1 year,Orion,R&D,Employee 183,L3 Seasoned,United Kingdom
Employee 85,July 2023,2023,7,2023-01-03,209,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Veteran,United States
Employee 86,July 2023,2023,7,2023-01-10,202,6 months-1 year,Forward Deployed Engineering,R&D,Employee 999,M4 Early,United States
Employee 87,July 2023,2023,7,2023-01-17,195,6 months-1 year,Product Security,R&D,Employee 113,L5 Seasoned,Netherlands
Employee 89,July 2023,2023,7,2023-01-23,189,6 months-1 year,Orion,R&D,Employee 183,L3 Early,Egypt
Employee 91,July 2023,2023,7,2023-02-06,175,3-6 months,Data Product Engineering,R&D,Employee 157,L4 Early,Egypt
Employee 95,July 2023,2023,7,2023-04-10,112,3-6 months,Core Data Ingestion,R&D,Employee 151,L5 Seasoned,United States
Employee 10,August 2023,2023,8,2021-01-28,945,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 102,August 2023,2023,8,2023-07-31,31,1-3 months,Product Engineering,R&D,Employee 41,L3 Veteran,India
Employee 1141,August 2023,2023,8,2022-10-31,304,6 months-1 year,Software Engineering,R&D,Employe 2141,L4 Seasoned,United States
Employee 1143,August 2023,2023,8,2021-10-18,682,1-5 years,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1148,August 2023,2023,8,2023-06-20,72,1-3 months,Solutions Engineering,Go-To-Market,Employe 2148,L5 Seasoned,United States
Employee 1151,August 2023,2023,8,2022-11-14,290,6 months-1 year,Software Engineering,R&D,Employe 2151,L5 Seasoned,United States
Employee 1153,August 2023,2023,8,2022-12-05,269,6 months-1 year,Software Engineering,R&D,Employe 2153,L5 Early,United States
Employee 1180,August 2023,2023,8,2022-09-18,347,6 months-1 year,Software Engineering,R&D,Employe 2180,L2 Seasoned,Egypt
Employee 1189,August 2023,2023,8,2022-02-07,570,1-5 years,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,August 2023,2023,8,2022-02-14,563,1-5 years,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1199,August 2023,2023,8,2023-05-08,115,3-6 months,Security Engineering,R&D,Employe 2199,L5 Early,United States
Employee 1202,August 2023,2023,8,2023-05-08,115,3-6 months,Data Platform Engineering,R&D,Employe 2202,L5,Canada
Employee 1216,August 2023,2023,8,2023-01-18,225,6 months-1 year,Software Engineering,R&D,Employe 2216,L4 Early,United States
Employee 1219,August 2023,2023,8,2022-10-10,325,6 months-1 year,Software Engineering,R&D,Employe 2219,L4 Early,Canada
Employee 1231,August 2023,2023,8,2023-04-10,143,3-6 months,Software Engineering,R&D,Employe 2231,L4 Seasoned,United States
Employee 1236,August 2023,2023,8,2021-04-29,854,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,August 2023,2023,8,2021-12-22,617,1-5 years,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1244,August 2023,2023,8,2023-07-10,52,1-3 months,Software Engineering,R&D,Employe 2244,L3 Veteran,United States
Employee 1251,August 2023,2023,8,2021-08-02,759,1-5 years,Finance,Operations,Employe 2251,M6 Early,United States
Employee 1268,August 2023,2023,8,2023-07-03,59,1-3 months,Data Product Engineering,R&D,Employe 2268,L4 Veteran,United States
Employee 1271,August 2023,2023,8,2023-01-09,234,6 months-1 year,Engineering,R&D,Employe 2271,M6 Seasoned,United States
Employee 15,August 2023,2023,8,2021-08-01,760,1-5 years,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,August 2023,2023,8,2021-08-18,743,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,August 2023,2023,8,2021-08-23,738,1-5 years,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,August 2023,2023,8,2019-05-20,1564,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,August 2023,2023,8,2022-02-07,570,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,August 2023,2023,8,2022-04-11,507,1-5 years,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,August 2023,2023,8,2022-05-03,485,1-5 years,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,August 2023,2023,8,2022-05-09,479,1-5 years,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,August 2023,2023,8,2020-01-27,1312,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,August 2023,2023,8,2022-06-13,444,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,August 2023,2023,8,2022-06-27,430,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,August 2023,2023,8,2022-07-05,422,1-5 years,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 64,August 2023,2023,8,2022-08-29,367,1-5 years,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,August 2023,2023,8,2022-08-29,367,1-5 years,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,August 2023,2023,8,2022-09-19,346,6 months-1 year,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
Employee 8,August 2023,2023,8,2020-11-30,1004,1-5 years,Product Engineering,R&D,Employee 41,L4 Seasoned,United States
Employee 80,August 2023,2023,8,2022-12-19,255,6 months-1 year,Accounting,Operations,Employee 66,M3 Veteran,United States
Employee 81,August 2023,2023,8,2022-12-19,255,6 months-1 year,Data Product Engineering,R&D,Employee 157,L3 Veteran,Egypt
Employee 83,August 2023,2023,8,2023-01-03,240,6 months-1 year,Orion,R&D,Employee 183,L3 Seasoned,United Kingdom
Employee 85,August 2023,2023,8,2023-01-03,240,6 months-1 year,Core Data Ingestion,R&D,Employee 151,L4 Veteran,United States
Employee 86,August 2023,2023,8,2023-01-10,233,6 months-1 year,Forward Deployed Engineering,R&D,Employee 999,M4 Early,United States
Employee 87,August 2023,2023,8,2023-01-17,226,6 months-1 year,Product Security,R&D,Employee 113,L5 Seasoned,Netherlands
Employee 89,August 2023,2023,8,2023-01-23,220,6 months-1 year,Orion,R&D,Employee 183,L3 Early,Egypt
Employee 91,August 2023,2023,8,2023-02-06,206,6 months-1 year,Data Product Engineering,R&D,Employee 157,L4 Early,Egypt
Employee 95,August 2023,2023,8,2023-04-10,143,3-6 months,Core Data Ingestion,R&D,Employee 151,L5 Seasoned,United States
Employee 10,September 2023,2023,9,2021-01-28,975,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 102,September 2023,2023,9,2023-07-31,61,1-3 months,Product Engineering,R&D,Employee 41,L3 Veteran,India
Employee 1141,September 2023,2023,9,2022-10-31,334,6 months-1 year,Software Engineering,R&D,Employe 2141,L4 Seasoned,United States
Employee 1143,September 2023,2023,9,2021-10-18,712,1-5 years,Software Engineering,R&D,Employe 2143,M4 Veteran,United States
Employee 1148,September 2023,2023,9,2023-06-20,102,3-6 months,Solutions Engineering,Go-To-Market,Employe 2148,L5 Seasoned,United States
Employee 1151,September 2023,2023,9,2022-11-14,320,6 months-1 year,Software Engineering,R&D,Employe 2151,L5 Seasoned,United States
Employee 1153,September 2023,2023,9,2022-12-05,299,6 months-1 year,Software Engineering,R&D,Employe 2153,L5 Early,United States
Employee 1180,September 2023,2023,9,2022-09-18,377,1-5 years,Software Engineering,R&D,Employe 2180,L2 Seasoned,Egypt
Employee 1189,September 2023,2023,9,2022-02-07,600,1-5 years,Solutions Engineering,Go-To-Market,Employe 2189,L5 Early,United States
Employee 1190,September 2023,2023,9,2022-02-14,593,1-5 years,Software Engineering,R&D,Employe 2190,L3 Seasoned,United States
Employee 1199,September 2023,2023,9,2023-05-08,145,3-6 months,Security Engineering,R&D,Employe 2199,L5 Early,United States
Employee 1202,September 2023,2023,9,2023-05-08,145,3-6 months,Data Platform Engineering,R&D,Employe 2202,L5,Canada
Employee 1216,September 2023,2023,9,2023-01-18,255,6 months-1 year,Software Engineering,R&D,Employe 2216,L4 Early,United States
Employee 1219,September 2023,2023,9,2022-10-10,355,6 months-1 year,Software Engineering,R&D,Employe 2219,L4 Early,Canada
Employee 1231,September 2023,2023,9,2023-04-10,173,3-6 months,Software Engineering,R&D,Employe 2231,L4 Seasoned,United States
Employee 1236,September 2023,2023,9,2021-04-29,884,1-5 years,Data Platform Engineering,R&D,Employe 2236,L4 Early,United States
Employee 1237,September 2023,2023,9,2021-12-22,647,1-5 years,Data Platform Engineering,R&D,Employe 2237,L3 Seasoned,United States
Employee 1244,September 2023,2023,9,2023-07-10,82,1-3 months,Software Engineering,R&D,Employe 2244,L3 Veteran,United States
Employee 1246,September 2023,2023,9,2023-09-05,25,1-30 days,Data Platform Engineering,R&D,Employe 2246,L4 Early,Canada
Employee 1251,September 2023,2023,9,2021-08-02,789,1-5 years,Finance,Operations,Employe 2251,M6 Early,United States
Employee 1268,September 2023,2023,9,2023-07-03,89,1-3 months,Data Product Engineering,R&D,Employe 2268,L4 Veteran,United States
Employee 1271,September 2023,2023,9,2023-01-09,264,6 months-1 year,Engineering,R&D,Employe 2271,M6 Seasoned,United States
Employee 15,September 2023,2023,9,2021-08-01,790,1-5 years,AI Products,R&D,Employee 183,L4 Veteran,Egypt
Employee 16,September 2023,2023,9,2021-08-18,773,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Seasoned,United States
Employee 17,September 2023,2023,9,2021-08-23,768,1-5 years,Data Product Engineering,R&D,Employee 157,L4 Veteran,United States
Employee 3,September 2023,2023,9,2019-05-20,1594,1-5 years,Product Engineering,R&D,Employee 999,L6 Early,United States
Employee 32,September 2023,2023,9,2022-02-07,600,1-5 years,Core Data Ingestion,R&D,Employee 151,L4 Early,Egypt
Employee 40,September 2023,2023,9,2022-04-11,537,1-5 years,Data Platform Engineering,R&D,Employee 159,L4 Veteran,United States
Employee 41,September 2023,2023,9,2022-05-03,515,1-5 years,Product Engineering,R&D,Employee 999,M4 Veteran,United States
Employee 43,September 2023,2023,9,2022-05-09,509,1-5 years,Finance,Operations,Employee 999,M6 Seasoned,United States
Employee 5,September 2023,2023,9,2020-01-27,1342,1-5 years,Data Engineering,R&D,Employee 999,M5 Veteran,United States
Employee 55,September 2023,2023,9,2022-06-13,474,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,India
Employee 57,September 2023,2023,9,2022-06-27,460,1-5 years,Data Platform Engineering,R&D,Employee 159,L5 Early,United States
Employee 59,September 2023,2023,9,2022-07-05,452,1-5 years,Data Product Engineering,R&D,Employee 159,L4 Seasoned,United States
Employee 64,September 2023,2023,9,2022-08-29,397,1-5 years,Data Platform Engineering,R&D,Employee 159,L3 Seasoned,United States
Employee 66,September 2023,2023,9,2022-08-29,397,1-5 years,Accounting,Operations,Employee 43,M5 Early,United States
Employee 68,September 2023,2023,9,2022-09-19,376,1-5 years,Infrastructure Engineering,R&D,Employee 200,L4 Early,United States
