Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash
Forward Deployed Engineer - US National Security,2025-03-18,Candidate 147,Yes,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Forward Deployed Engineering - IC,L4,229984.32
Forward Deployed Engineer - US National Security,2025-03-19,Candidate 148,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
"Software Engineer, Infrastructure",2025-03-20,Candidate 149,Yes,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Infrastructure",2025-03-25,Candidate 150,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Strategic Finance,2025-03-25,Candidate 151,Yes,United States,Non-tech,1.0,Current Comp,M4 (Manager),260000,Operations - Finance - FP&A - Mgmt,M4,225000.0
Head of Strategic Finance,2025-03-25,Candidate 152,Yes,United States,Non-tech,1.0,Current Comp,M4 (Manager),250000,Operations - Finance - FP&A - Mgmt,M4,225000.0
Head of Strategic Finance,2025-03-25,Candidate 153,Yes,United States,Non-tech,1.0,Current Comp,M4 (Manager),260000,Operations - Finance - FP&A - Mgmt,M4,225000.0
AI Engineer,2025-03-27,Candidate 154,No,United States,Tech,1.0,TRM Pay Band,L3 (Mid),180000,Product - Engineering - Machine Learning Engineering - IC,L4,209000.7
AI Engineer,2025-03-26,Candidate 155,Yes,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Machine Learning Engineering - IC,L4,231950.7
AI Engineer,2025-03-27,Candidate 156,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Machine Learning Engineering - IC,L4,231950.7
"Software Engineer, Infrastructure",2025-03-28,Candidate 157,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Infrastructure",2025-03-28,Candidate 158,No,United States,Tech,1.0,Current Comp,L4 (Senior),DND,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Strategic Finance,2025-04-03,Candidate 159,Yes,United States,Non-tech,1.0,Expected,M4 (Manager),325000,Operations - Finance - FP&A - Mgmt,M4,225000.0
Head of Strategic Finance,2025-04-03,Candidate 160,Yes,United States,Non-tech,1.0,Expected,M4 (Manager),225000,Operations - Finance - FP&A - Mgmt,M4,225000.0
Senior Compliance Engineer,2025-04-10,Candidate 161,Yes,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Security - Security Engineering - IC,L4,234153.25
"Data Science Manager, Attribution",2025-04-14,Candidate 162,Yes,United States,Tech,1.0,Expected,M4 Veteran (Sr. Manager),,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 163,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Software Engineer, Data Product (US)",2025-04-11,Candidate 164,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L3,0.0
"Software Engineer, Data Product (US)",,Candidate 165,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L3,0.0
"Senior Software Engineer, Data Product (LATAM)",2025-03-17,Candidate 166,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 167,No,United States,Tech,1.0,Expected,L4 (Senior),240000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior MLOps Engineer,2025-04-04,Candidate 168,Yes,Argentina,Tech,0.503,Expected,L6 (Principal),120000,Product - Engineering - Software Engineering - IC,L5,160960.0
"Senior Software Engineer, Data Product (LATAM)",2025-04-15,Candidate 169,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-14,Candidate 170,No,United States,Tech,1.0,Expected,L4 (Senior),250000,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Product Engineering,2025-03-24,Candidate 171,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - Mgmt,M5,330000.0
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 172,Yes,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior or Staff Software Engineer - Graph Analytics,,Candidate 173,No,United States,Tech,1.0,Expected,L6 (Principal),230000,Product - Engineering - Software Engineering - IC,L5,320000.0
"Senior Software Engineer, Data Product (LATAM)",2025-03-28,Candidate 174,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Data Science Manager, Attribution",2025-04-14,Candidate 175,Yes,United States,Tech,1.0,Expected,M4 (Manager),,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Software Engineer, Data Platform – US",,Candidate 176,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Software Engineer, Full Stack | Product Engineering (United States)",2025-04-04,Candidate 177,No,United States,Tech,1.0,Expected,L3 (Mid),160000,Product - Engineering - Software Engineering - IC,,190000.0
"Data Science Manager, Attribution",2025-04-09,Candidate 178,Yes,United States,Tech,1.0,Expected,M4 (Manager),300000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Software Engineer, Backend | Product Engineering (LATAM)",2025-04-14,Candidate 179,No,Brazil,Tech,0.597,Expected,L3 (Mid),85000,Product - Engineering - Software Engineering - IC,,113430.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-16,Candidate 180,No,United States,Tech,1.0,Expected,L5 (Staff),210000,Product - Engineering - Software Engineering - IC,L4,265000.0
"Software Engineer, Data Product (US)",2025-04-04,Candidate 181,No,United States,Tech,1.0,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,190000.0
"Software Engineer, Data Platform – US",2024-10-09,Candidate 182,No,United States,Tech,1.0,Expected,L3 (Mid),220000,Product - Engineering - Software Engineering - IC,L5,190000.0
AI Engineer,2025-03-27,Candidate 183,Yes,Canada,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Machine Learning Engineering - IC,L4,231950.7
Senior or Staff Software Engineer - Graph Analytics,,Candidate 184,No,United States,Tech,1.0,Expected,L4 (Senior),240000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-03-05,Candidate 185,No,United States,Tech,1.0,Expected,L4 (Senior),225000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Data Science Manager, Attribution",2025-04-09,Candidate 186,Yes,Poland,Tech,0.686,Expected,M4 (Manager),250000,Product - Engineering - Machine Learning Engineering - IC,L4,128556.88
"Senior Software Engineer, Data Infrastructure (RDBMS)",,Candidate 187,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Staff Software Engineer, Data Platform (US)",2025-04-09,Candidate 188,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Data Science Manager, Attribution",2025-04-09,Candidate 189,Yes,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Machine Learning Engineering - IC,M4,257600.7
"Senior or Staff Software Engineer, SIGINT",2025-04-18,Candidate 190,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-14,Candidate 191,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L4,265000.0
"Data Science Manager, Attribution",2025-04-15,Candidate 192,No,United States,Tech,1.0,Expected,M4 (Manager),280000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-16,Candidate 193,No,United States,Tech,1.0,Current Comp,L6 (Principal),200000,Product - Engineering - Software Engineering - IC,L4,320000.0
"Data Science Manager, Attribution",,Candidate 194,No,United States,Tech,1.0,Expected,L4 (Senior),175000,Product - Engineering - Machine Learning Engineering - IC,M4,231950.7
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-15,Candidate 195,No,United States,Tech,1.0,Expected,L6 (Principal),200000,Product - Engineering - Software Engineering - IC,L4,320000.0
Senior or Staff Software Engineer - Graph Analytics,,Candidate 196,No,United States,Tech,1.0,Expected,L4 (Senior),240000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-03,Candidate 197,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 198,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Data Platform – US",,Candidate 199,Yes,United States,Tech,1.0,Offer,L4 (Senior),195000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Data Science Manager, Attribution",2025-04-18,Candidate 200,Yes,United States,Tech,1.0,Expected,M5 (Director),300000,Product - Engineering - Machine Learning Engineering - IC,M4,209000.7
"Data Science Manager, Attribution",2025-04-21,Candidate 201,Yes,United States,Tech,1.0,Expected,M3 (Team Lead),290000,Product - Engineering - Machine Learning Engineering - IC,M4,161210.7
Senior MLOps Engineer,2025-03-20,Candidate 202,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),120000,Product - Engineering - Software Engineering - IC,L5,132069.53
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-17,Candidate 203,No,United States,Tech,1.0,Expected,L4 (Senior),255000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-04-04,Candidate 204,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L5,221222.0
Senior MLOps Engineer,2025-04-17,Candidate 205,No,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0
"Software Engineer, Data Platform – US",2025-04-14,Candidate 206,Yes,United States,Tech,1.0,Expected,L4 (Senior),190000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-04-21,Candidate 207,No,United States,Tech,1.0,Expected,L3 (Mid),100000,Product - Engineering - Software Engineering - IC,L5,190000.0
"Senior Software Engineer, Data Product (LATAM)",2025-04-10,Candidate 208,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Data Product (LATAM)",2025-03-18,Candidate 209,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-04-03,Candidate 210,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L5,0.0
"Senior Software Engineer, Data Product (LATAM)",2025-04-15,Candidate 211,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-16,Candidate 212,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Data Platform – US",2025-03-24,Candidate 213,No,United States,Tech,1.0,Expected,L3 (Mid),220000,Product - Engineering - Software Engineering - IC,L5,190000.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-04-14,Candidate 214,No,Brazil,Tech,0.597,Expected,L3 (Mid),120000,Product - Engineering - Software Engineering - IC,,113430.0
"Data Science Manager, Attribution",2025-04-18,Candidate 215,No,United States,Tech,1.0,Expected,M4 Veteran (Sr. Manager),315000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Software Engineer, Data Platform – US",2025-04-14,Candidate 216,No,United States,Tech,1.0,Expected,L3 (Mid),200000,Product - Engineering - Software Engineering - IC,L5,190000.0
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 217,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L4,265000.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-07,Candidate 218,No,United States,Tech,1.0,Expected,L6 (Principal),250000,Product - Engineering - Software Engineering - IC,L4,320000.0
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 219,,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-03-19,Candidate 220,Yes,Brazil,Tech,0.597,Current Comp,L4 (Senior),160000,Product - Engineering - Software Engineering - IC,,132069.53
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-17,Candidate 221,No,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Data Science Manager, Attribution",2025-04-18,Candidate 222,No,United States,Tech,1.0,Expected,M4 Veteran (Sr. Manager),310000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
Forward Deployed Engineer - US National Security,2025-04-30,Candidate 223,No,United States,Tech,1.0,Expected,L4 (Senior),210000,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92
AI Engineer,2025-03-19,Candidate 224,Yes,Brazil,Tech,0.597,Expected,M4 (Manager),120000,Product - Engineering - Machine Learning Engineering - IC,L4,111878.22
Senior or Staff Software Engineer - Graph Analytics,2025-04-04,Candidate 225,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),190000,Product - Engineering - Software Engineering - IC,L5,132069.53
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-22,Candidate 226,No,United States,Tech,1.0,Current Comp,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior MLOps Engineer,2025-03-24,Candidate 227,Yes,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,132069.53
Head of Product Engineering,2025-04-25,Candidate 228,No,United States,Tech,1.0,Expected,M4 (Manager),290000,Product - Engineering - Software Engineering - Mgmt,M5,250000.0
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 229,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-16,Candidate 230,No,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Product (LATAM)",,Candidate 231,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
Senior or Staff Software Engineer - Graph Analytics,2025-04-30,Candidate 232,No,United States,Tech,1.0,Expected,L6 (Principal),250000,Product - Engineering - Software Engineering - IC,L5,320000.0
Lead Solutions Architect,2025-03-06,Candidate 233,Yes,United States,Non-tech,1.0,Current Comp,L4 (Senior),,GTM - Solutions Engineering - Solutions Engineering - IC,L5,180147.0
Head of Product Engineering,2025-04-29,Candidate 234,Yes,United States,Tech,1.0,Expected,M4 (Manager),300000,Product - Engineering - Software Engineering - Mgmt,M5,250000.0
"Software Engineer, Full Stack | Product Engineering (United States)",2025-04-29,Candidate 235,No,United States,Tech,1.0,,L3 (Mid),,Product - Engineering - Software Engineering - IC,,190000.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-03,Candidate 236,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-23,Candidate 237,No,United States,Tech,1.0,Current Comp,L5 (Staff),270000,Product - Engineering - Software Engineering - IC,L4,265000.0
Head of Product Engineering,2025-04-25,Candidate 238,Yes,United States,Tech,1.0,Expected,M5 (Director),290000,Product - Engineering - Software Engineering - Mgmt,M5,290000.0
Head of Product Engineering,2025-04-21,Candidate 239,Yes,United States,Tech,1.0,Expected,M4 (Manager),250000,Product - Engineering - Software Engineering - Mgmt,M5,250000.0
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-03,Candidate 240,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-04-29,Candidate 241,No,United States,Tech,1.0,Expected,L4 (Senior),190000,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Product Engineering,2025-05-02,Candidate 242,Yes,United States,Tech,1.0,Expected,M5 (Director),,Product - Engineering - Software Engineering - Mgmt,M5,290000.0
"Software Engineer, Data Platform – US",2025-04-15,Candidate 243,Yes,United States,Tech,1.0,Expected,L3 (Mid),190000,Product - Engineering - Software Engineering - IC,L5,190000.0
"Senior Software Engineer, Infrastructure",2025-05-05,Candidate 244,No,United States,Tech,1.0,Current Comp,L4 (Senior),265000,Product - Engineering - Software Engineering - Mgmt,L4,330000.0
"Software Engineer, Data Platform – US",2025-04-14,Candidate 245,No,United States,Tech,1.0,Expected,L3 (Mid),190000,Product - Engineering - Software Engineering - IC,L5,190000.0
"Staff Software Engineer, Data Platform (US)",2025-04-30,Candidate 246,No,United States,Tech,1.0,Expected,L4 (Senior),250000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-05,Candidate 247,No,Brazil,Tech,0.597,,L3 (Mid),,Product - Engineering - Software Engineering - IC,,113430.0
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-04-22,Candidate 248,No,Brazil,Tech,0.597,Expected,L3 (Mid),80000,Product - Engineering - Software Engineering - IC,L3,113430.0
"Staff Software Engineer, Data Product (US / US PERM)",2025-04-16,Candidate 249,No,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,158205.0
Head of Product Engineering,2025-05-06,Candidate 250,Yes,United States,Tech,1.0,Expected,M5 (Director),250000,Product - Engineering - Software Engineering - Mgmt,M5,290000.0
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-05-05,Candidate 251,No,Brazil,Tech,0.597,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,113430.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-06,Candidate 252,Yes,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L5,221222.0
Head of Product Engineering,2025-05-06,Candidate 253,Yes,United States,Tech,1.0,,M5 (Director),,Product - Engineering - Software Engineering - Mgmt,M5,290000.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-05-06,Candidate 254,No,United States,Tech,1.0,Expected,L4 (Senior),240000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Backend | Product Engineering (LATAM)",2025-01-14,Candidate 255,,,Tech,,,,,Product - Engineering - Software Engineering - IC,,0.0
"Senior Software Engineer, Data Product (LATAM)",2025-02-10,Candidate 256,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-04-21,Candidate 257,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Senior Software Engineer, Infrastructure",2025-05-07,Candidate 258,No,United States,Tech,1.0,Current Comp,L4 (Senior),190000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 259,No,United States,Tech,1.0,Expected,L4 (Senior),230000,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Product Engineering,2025-05-06,Candidate 260,No,United States,Tech,1.0,Expected,M4 (Manager),290000,Product - Engineering - Software Engineering - Mgmt,M5,250000.0
Counsel | Legal,2025-04-30,Candidate 261,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,L4,0.0
"Staff Software Engineer, Data Platform (US)",2025-04-03,Candidate 262,Yes,United States,Tech,1.0,Current Comp,L5 (Staff),270000,Product - Engineering - Software Engineering - IC,L5,265000.0
"Data Science Manager, Attribution",2025-04-30,Candidate 263,No,United States,Tech,1.0,Expected,M4 Veteran (Sr. Manager),250000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Senior Software Engineer, Data Product (LATAM)",2025-05-02,Candidate 264,No,Argentina,Tech,0.503,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,111274.67
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-08,Candidate 265,No,United States,Tech,1.0,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L5,190000.0
"Senior Software Engineer, Data Product (LATAM)",2025-04-30,Candidate 266,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
Forward Deployed Data Engineer (TS/SCI),,Candidate 267,No,United States,Tech,1.0,Current Comp,L4 (Senior),241000,Product - Engineering - Forward Deployed Engineering - IC,L5,265465.92
"Senior Software Engineer, Data Platform (US / US PERM)",,Candidate 268,No,United States,Tech,1.0,Expected,L5 (Staff),250000,Product - Engineering - Software Engineering - IC,L4,265000.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-05-05,Candidate 269,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-05-12,Candidate 270,No,United States,Tech,1.0,Expected,L4 (Senior),175000,Product - Engineering - Software Engineering - IC,L4,221222.0
Head of Product Engineering,2025-04-21,Candidate 271,No,United States,Tech,1.0,Expected,M4 (Manager),250000,Product - Engineering - Software Engineering - Mgmt,M5,250000.0
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 272,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 273,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-05-07,Candidate 274,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Data Product (LATAM)",2025-04-14,Candidate 275,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-25,Candidate 276,No,United States,Tech,1.0,Current Comp,L5 (Staff),210000,Product - Engineering - Software Engineering - IC,L4,265000.0
Head of Product Engineering,2025-04-16,Candidate 277,Yes,United States,Tech,1.0,Expected,M5 (Director),300000,Product - Engineering - Software Engineering - Mgmt,L4,290000.0
"Senior Software Engineer, Infrastructure",2025-05-13,Candidate 278,No,United States,Tech,1.0,Expected,L4 (Senior),250000,Product - Engineering - Software Engineering - IC,L4,221222.0
Senior MLOps Engineer,2025-03-11,Candidate 279,,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,158205.0
"Account Director, EMEA Private Sector",2025-05-14,Candidate 280,No,United Kingdom,Tech,0.961,Current Comp,L3 (Mid),106403,Product - Engineering - Software Engineering - Mgmt,L5,278690.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-30,Candidate 281,Yes,United States,Tech,1.0,Expected,L5 (Staff),280000,Product - Engineering - Software Engineering - IC,L4,265000.0
Head of Product Engineering,2025-05-14,Candidate 282,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-05-05,Candidate 283,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-05-13,Candidate 284,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-06,Candidate 285,Yes,United States,Tech,1.0,Expected,L3 (Mid),150000,Product - Engineering - Software Engineering - IC,,190000.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-16,Candidate 286,No,United States,Tech,1.0,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-09,Candidate 287,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Data Science Manager, Attribution",2025-04-18,Candidate 288,Yes,United States,Tech,1.0,Expected,M4 (Manager),300000,Product - Engineering - Machine Learning Engineering - IC,M4,187400.7
"Software Engineer, Full Stack | Product Engineering (United States)",2025-05-01,Candidate 289,No,United States,Tech,1.0,Expected,L3 (Mid),180000,Product - Engineering - Software Engineering - IC,,190000.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",,Candidate 290,Yes,United States,Tech,1.0,Expected,L4 (Senior),190000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-14,Candidate 291,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-14,Candidate 292,Yes,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L5,221222.0
Senior MLOps Engineer,2025-05-05,Candidate 293,Yes,United Kingdom,Tech,0.961,Expected,L6 (Principal),,Product - Engineering - Software Engineering - IC,L5,307520.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-30,Candidate 294,No,United States,Tech,1.0,Expected,L4 (Senior),200000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-25,Candidate 295,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0
"Senior Software Engineer, Data Platform (US / US PERM)",2025-04-22,Candidate 296,Yes,United States,Tech,1.0,Expected,L5 (Staff),205000,Product - Engineering - Software Engineering - IC,L4,265000.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-04-30,Candidate 297,No,Ecuador,Tech,0.406,Expected,L3 (Mid),150000,Product - Engineering - Software Engineering - IC,L4,77140.0
"Senior Software Engineer, Data Product (US / US PERM)",2025-05-08,Candidate 298,No,United States,Tech,1.0,Expected,L4 (Senior),180000,Product - Engineering - Software Engineering - IC,L4,221222.0
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-05-14,Candidate 299,Yes,Brazil,Tech,0.597,Expected,L3 (Mid),120000,Product - Engineering - Software Engineering - IC,L3,113430.0
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-05-19,Candidate 300,No,United States,Tech,1.0,Expected,L5 (Staff),210000,Product - Engineering - Software Engineering - IC,L4,265000.0
Software Engineer | Core Data Ingestion,,Candidate 301,Yes,Egypt,Tech,0.5,Offer,L3 (Mid),,Product - Engineering - Software Engineering - IC,L3,95000.0
Senior or Staff Software Engineer - Graph Analytics,2025-05-15,Candidate 302,No,United States,Tech,1.0,Expected,L4 (Senior),250000,Product - Engineering - Software Engineering - IC,L5,221222.0
"Senior Software Engineer, Data Product (US / US PERM)",,Candidate 303,,United States,Tech,1.0,,,,Product - Engineering - Software Engineering - IC,L4,0.0
Senior MLOps Engineer,2025-05-12,Candidate 304,No,Brazil,Tech,0.597,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,132069.53
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-05-21,Candidate 305,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,L5,0.0
Senior MLOps Engineer,2025-05-06,Candidate 306,No,Brazil,Tech,0.597,Current Comp,L3 (Mid),50000,Product - Engineering - Software Engineering - IC,L4,113430.0
