Role Name,Date,Candidate Name + GH URL,High Potential?,Location,Tech/Non-Tech/Quota Carrying,Geo Factor,Comp Type,Current Level,$ Base Comp,Final Pay Band,TRM Level,TRM Cash,Candidate Number
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-15,Candidate 519,No,United States,Tech,1.0,,L3 (Mid),140000,Product - Engineering - Software Engineering - IC,L4,190000.0,519
"Senior Software Engineer, Data Product (US / US PERM)",2025-07-07,Candidate 521,,,Tech,,Expected,L4 (Senior),220000,Product - Engineering - Software Engineering - IC,L4,0.0,521
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-15,Candidate 523,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,523
Forward Deployed Engineer - US National Security,2025-06-30,Candidate 524,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,524
"Senior Software Engineer, Data Product (US / US PERM)",2025-06-25,Candidate 529,,,Tech,,Expected,,245000,Product - Engineering - Software Engineering - IC,L4,0.0,529
"Engineering Manager, Data Engineering",2025-07-08,Candidate 530,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,530
"Software Engineer, Data Product (US / US PERM)",2025-07-12,Candidate 531,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,531
"Senior Software Engineer, Data Product (LATAM)",2025-07-17,Candidate 532,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,532
"Senior Backend Engineer, Data Product (US / US PERM)",2025-07-22,Candidate 533,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,533
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-18,Candidate 535,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,535
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-07-17,Candidate 536,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,536
Head of Product Engineering,2025-07-10,Candidate 537,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,537
"Senior Software Engineer, Data Product (LATAM)",2025-07-01,Candidate 538,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,538
Forward Deployed Engineer - US National Security,2025-07-02,Candidate 539,No,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Forward Deployed Engineering - IC,L4,265465.92,539
"Senior Software Engineer, Data Product (LATAM)",2025-07-17,Candidate 540,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,540
Head of Product Engineering,2025-07-17,Candidate 547,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,547
"Senior Software Engineer, Data Product (LATAM)",2025-07-17,Candidate 550,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,550
"Senior Software Engineer, Data Product (US / US PERM)",2025-07-21,Candidate 551,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,551
"Senior or Staff Software Engineer, SIGINT",2025-06-26,Candidate 553,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,553
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-22,Candidate 556,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,556
"Senior or Staff Software Engineer, SIGINT",2025-07-21,Candidate 557,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,557
"Software Engineer, Data Product (US / US PERM)",2025-07-21,Candidate 558,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,558
Senior MLOps Engineer,2025-05-15,Candidate 562,Yes,United States,Tech,1.0,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L5,265000.0,562
"Head of Engineering, AI",2025-07-24,Candidate 563,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,563
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-17,Candidate 568,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,568
"Staff Software Engineer, Backend | Product Engineering (United States)",2025-06-23,Candidate 569,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,569
Forward Deployed Engineer - US National Security,2025-06-24,Candidate 570,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,570
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-07-23,Candidate 571,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,571
"Software Engineer, Data Platform – US",2025-07-21,Candidate 572,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,572
"Senior Software Engineer, Infrastructure",2025-07-22,Candidate 576,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,576
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-07-21,Candidate 578,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,578
"Senior Software Engineer, Data Platform (US / US PERM)",2025-07-16,Candidate 582,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,582
"Software Engineer, Data Product (LATAM)",2025-07-15,Candidate 583,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,583
Head of Product Engineering,2025-07-28,Candidate 584,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,584
"Senior Software Engineer, Data Product (LATAM)",2025-07-29,Candidate 587,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,587
Forward Deployed Engineer - US National Security,2025-06-25,Candidate 590,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,590
"Senior Software Engineer, Infrastructure",2025-07-08,Candidate 591,,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,591
"Senior Software Engineer, Infrastructure",2025-07-05,Candidate 596,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,596
"Senior Software Engineer, Infrastructure",2025-07-14,Candidate 597,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,597
"Senior Software Engineer, Backend (Egypt)",2025-07-31,Candidate 599,No,Egypt,Tech,0.5,Expected,L3 (Mid),,Product - Engineering - Software Engineering - IC,L4,95000.0,599
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-07-31,Candidate 600,No,United States,Tech,1.0,Current Comp,,215000,Product - Engineering - Software Engineering - IC,L5,0.0,600
"Senior Software Engineer, Data Product (LATAM)",2025-07-01,Candidate 603,No,Brazil,Tech,0.597,Current Comp,M4 (Manager),,Product - Engineering - Software Engineering - IC,L4,95520.0,603
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-28,Candidate 604,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,604
Head of Product Engineering,2025-07-23,Candidate 605,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,605
"Senior or Staff Software Engineer, SIGINT",2025-07-21,Candidate 607,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,607
"Software Engineer, Data Product (LATAM)",2025-06-27,Candidate 611,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,611
"Data Science Manager, Attribution",2025-08-04,Candidate 612,,,Tech,,,,,Product - Engineering - Machine Learning Engineering - IC,M4,0.0,612
Forward Deployed Engineer - US National Security,2025-08-02,Candidate 613,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,613
Head of Product Engineering,2025-08-01,Candidate 614,Yes,United States,Tech,1.0,Current Comp,,375000,Product - Engineering - Software Engineering - Mgmt,M5,0.0,614
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-07-21,Candidate 619,No,Argentina,Tech,0.503,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,111274.67,619
"Senior Backend Engineer, Data Product (US / US PERM)",2025-07-10,Candidate 622,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,622
Senior or Staff Software Engineer - Graph Analytics,2025-07-20,Candidate 623,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,623
Forward Deployed Data Engineer (TS/SCI),2025-07-31,Candidate 624,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L5,0.0,624
"Engineering Manager, Data Engineering",2025-07-30,Candidate 627,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,627
"Senior Software Engineer, Data Platform (US / US PERM)",2025-07-21,Candidate 628,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,628
"Engineering Manager, Data Engineering",2025-07-28,Candidate 630,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,630
"Senior Software Engineer, Infrastructure",2025-07-28,Candidate 631,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,631
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-06-23,Candidate 634,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,634
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-22,Candidate 635,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,635
Senior MLOps Engineer,2025-07-24,Candidate 637,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,637
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-27,Candidate 638,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,638
"Engineering Manager, Data Engineering",2025-07-29,Candidate 641,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,641
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-15,Candidate 646,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,646
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-08-03,Candidate 652,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,652
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-07-22,Candidate 654,Yes,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L5,221222.0,654
"Senior Software Engineer, Data Product (US / US PERM)",2025-07-21,Candidate 655,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,655
Head of Product Engineering,2025-08-06,Candidate 657,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,657
Solutions Architect,2025-08-07,Candidate 659,,,Non-tech,,,,,GTM - Solutions Engineering - Solutions Engineering - IC,L4,0.0,659
"Senior Software Engineer, Infrastructure",2025-08-04,Candidate 662,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,662
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-07-29,Candidate 666,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,666
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-08-08,Candidate 667,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,667
"Senior Software Engineer, Backend | Product Engineering (United States)",2025-08-08,Candidate 668,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,668
"Senior Software Engineer, Data Infrastructure (RDBMS)",2025-07-23,Candidate 670,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,670
"Head of Engineering, AI",2025-06-26,Candidate 674,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,674
"Software Engineer, Data Product (LATAM)",2025-07-06,Candidate 675,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,675
"Mid or Senior Software Engineer, Full Stack | Product Engineering (United States)",2025-07-18,Candidate 676,No,United States,Tech,1.0,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,676
"Senior Software Engineer, Data Product (US / US PERM)",2025-07-14,Candidate 678,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,678
Forward Deployed Engineer - US National Security,2025-07-24,Candidate 680,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,680
Forward Deployed Data Engineer (TS/SCI),2025-07-30,Candidate 681,Yes,United States,Tech,1.0,,L4 (Senior),,Product - Engineering - Forward Deployed Engineering - IC,L5,265465.92,681
Forward Deployed Engineer - US National Security,2025-07-30,Candidate 682,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,682
Senior MLOps Engineer,2025-08-06,Candidate 684,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,684
"Mid or Senior Software Engineer, Full Stack | Product Engineering (LATAM)",2025-07-28,Candidate 685,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,685
"Senior or Staff Software Engineer, SIGINT",2025-07-30,Candidate 686,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,686
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-07-28,Candidate 687,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,687
Senior MLOps Engineer,2025-07-23,Candidate 689,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,689
"Senior or Staff Software Engineer, SIGINT",2025-07-30,Candidate 690,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,690
"Senior Software Engineer, Data Product (US / US PERM)",2025-08-01,Candidate 692,No,United States,Tech,1.0,Current Comp,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,221222.0,692
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-07-02,Candidate 693,No,Brazil,Tech,0.597,Expected,L4 (Senior),,Product - Engineering - Software Engineering - IC,L4,132069.53,693
Forward Deployed Engineer - US National Security,2025-07-24,Candidate 695,,,Tech,,,,,Product - Engineering - Forward Deployed Engineering - IC,L4,0.0,695
"Senior Software Engineer, Frontend | Product Engineering (LATAM)",2025-06-03,Candidate 696,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,696
"Software Engineer, Data Product (US / US PERM)",2025-07-01,Candidate 697,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,697
Solutions Architect,2025-07-18,Candidate 699,,,Non-tech,,,,,GTM - Solutions Engineering - Solutions Engineering - IC,L4,0.0,699
Senior MLOps Engineer,2025-08-05,Candidate 700,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L5,0.0,700
"Senior Software Engineer, Infrastructure",2025-07-23,Candidate 703,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,703
"Senior Software Engineer, Data Platform (US / US PERM)",2025-07-25,Candidate 704,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,704
"Senior Software Engineer, Infrastructure",2025-08-12,Candidate 705,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,705
"Software Engineer, Data Product (US / US PERM)",2025-08-06,Candidate 706,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L3,0.0,706
"Engineering Manager, Data Engineering",2025-08-12,Candidate 713,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M4,0.0,713
"Senior Software Engineer, Backend | Product Engineering (LATAM)",2025-08-07,Candidate 715,Yes,Brazil,Tech,0.597,Expected,L5 (Staff),,Product - Engineering - Software Engineering - IC,L4,158205.0,715
"Senior Software Engineer, Data Product (LATAM)",2025-07-21,Candidate 718,,,Tech,,,,,Product - Engineering - Software Engineering - IC,L4,0.0,718
Head of Product Engineering,2025-08-12,Candidate 723,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,723
Head of Product Engineering,2025-07-23,Candidate 726,,,Tech,,,,,Product - Engineering - Software Engineering - Mgmt,M5,0.0,726
